# 第1〜3世代の技（wiki の技データに載っていないもの）。第5世代(BW)基準の数値・第4世代の物理特殊分類。wiki の「既存技変更点」は build.py で上書きする
# 技名	タイプ	分類	威力	命中	PP	効果	優先度
おいうち	あく	物理	40	100	20	●交代する相手に威力2倍	0
おうふくビンタ	ノーマル	物理	15	85	10	●2〜5回連続攻撃	0
おきみやげ	あく	変化	-	100	10	自分は瀕死になり相手攻撃特攻↓↓	0
おだてる	あく	変化	-	100	15	相手特攻↑・混乱	0
おどろかす	ゴースト	物理	30	100	15	●相手怯み30%	0
おにび	ほのお	変化	-	75	15	相手を火傷にする	0
おんがえし	ノーマル	物理	-	100	20	●なつき度が高いほど威力↑(最大102)	0
おんねん	ゴースト	変化	-	-	5	倒された時に相手が使った技のPPを0にする	0
かいりき	ノーマル	物理	80	100	15	●通常攻撃	0
かえんぐるま	ほのお	物理	60	100	25	●相手火傷10%・自分の氷を治す	0
かえんほうしゃ	ほのお	特殊	95	100	15	相手火傷10%	0
かぎわける	ノーマル	変化	-	-	40	相手の回避ランクを無視・ゴーストにノーマル/格闘技が当たる	0
かくばる	ノーマル	変化	-	-	30	自分攻撃↑	0
かげぶんしん	ノーマル	変化	-	-	15	自分回避↑	0
かぜおこし	ひこう	特殊	40	100	35	そらをとぶ中の相手にも当たる(威力2倍)	0
かたくなる	ノーマル	変化	-	-	30	自分防御↑	0
かなしばり	ノーマル	変化	-	100	20	相手が最後に使った技を4ターン封じる	0
かまいたち	ノーマル	特殊	80	100	10	1ターン溜めて攻撃・急所に当たりやすい	0
かみくだく	あく	物理	80	100	15	●相手防御↓20%	0
かみつく	あく	物理	60	100	25	●相手怯み30%	0
かみなり	でんき	特殊	120	70	10	相手麻痺30%・雨なら必中/晴れなら命中50	0
かみなりパンチ	でんき	物理	75	100	15	●相手麻痺10%	0
からげんき	ノーマル	物理	70	100	20	●状態異常の時に威力2倍	0
からてチョップ	かくとう	物理	50	100	25	●急所に当たりやすい	0
からではさむ	みず	物理	35	85	15	●4〜5ターン拘束ダメージ	0
からにこもる	みず	変化	-	-	40	自分防御↑	0
からみつく	ノーマル	物理	10	100	35	●相手素早さ↓100%	0
かわらわり	かくとう	物理	75	100	15	●リフレクター・ひかりのかべを壊す	0
がまん	ノーマル	物理	-	-	10	●2ターン耐えて受けたダメージの2倍を返す	1
がむしゃら	ノーマル	物理	-	100	5	●相手のHPを自分のHPと同じにする	0
がんせきふうじ	いわ	物理	50	80	10	相手素早さ↓100%	0
きあいだめ	ノーマル	変化	-	-	30	急所に当たりやすくなる	0
きあいパンチ	かくとう	物理	150	100	20	●ターン中に攻撃を受けると失敗	-3
きしかいせい	かくとう	物理	-	100	15	●HPが少ないほど威力↑	0
きつけ	ノーマル	物理	60	100	10	●麻痺の相手に威力2倍・麻痺を治す	0
きゅうけつ	むし	物理	20	100	15	●与えたダメージの半分回復	0
きりさく	ノーマル	物理	70	100	20	●急所に当たりやすい	0
きんぞくおん	はがね	変化	-	85	40	相手特防↓↓	0
ぎんいろのかぜ	むし	特殊	60	100	5	自分全能力↑10%	0
くさぶえ	くさ	変化	-	55	15	相手を眠らせる	0
くすぐる	ノーマル	変化	-	100	20	相手攻撃防御↓	0
くろいきり	こおり	変化	-	-	30	場の全員の能力変化を元に戻す	0
くろいまなざし	ノーマル	変化	-	-	5	相手を逃げられなくする	0
けたぐり	かくとう	物理	-	100	20	●相手が重いほど威力↑	0
げきりん	ドラゴン	物理	120	100	10	●2〜3ターン暴れた後に混乱	0
げんしのちから	いわ	特殊	60	100	5	自分全能力↑10%	0
こうごうせい	くさ	変化	-	-	5	HP回復(天候で回復量が変わる)	0
こうそくいどう	エスパー	変化	-	-	30	自分素早さ↑↑	0
こうそくスピン	ノーマル	物理	20	100	40	●拘束・まきびし・やどりぎを解除	0
こころのめ	ノーマル	変化	-	-	5	次の攻撃が必ず当たる	0
こごえるかぜ	こおり	特殊	55	95	15	相手素早さ↓100%	0
こなゆき	こおり	特殊	40	100	25	相手氷10%	0
このゆびとまれ	ノーマル	変化	-	-	20	相手の攻撃を自分に集める	2
こらえる	ノーマル	変化	-	-	10	HP1で耐える	4
ころがる	いわ	物理	30	90	20	●5ターン連続で威力倍増	0
こわいかお	ノーマル	変化	-	100	10	相手素早さ↓↓	0
さいみんじゅつ	エスパー	変化	-	60	20	相手を眠らせる	0
さわぐ	ノーマル	特殊	90	100	10	3ターン連続・その間誰も眠れない	0
しおふき	みず	特殊	150	100	5	HPが減るほど威力↓	0
しぜんのちから	ノーマル	変化	-	-	20	場所に応じた技を出す	0
したでなめる	ゴースト	物理	20	100	30	●相手麻痺30%	0
しっぽをふる	ノーマル	変化	-	100	30	相手防御↓	0
しびれごな	くさ	変化	-	75	30	相手を麻痺にする	0
しめつける	ノーマル	物理	15	85	20	●4〜5ターン拘束ダメージ	0
しろいきり	こおり	変化	-	-	30	5ターン能力を下げられなくなる	0
しんそく	ノーマル	物理	80	100	5	●先制攻撃	2
しんぴのまもり	ノーマル	変化	-	-	25	5ターン状態異常にならない	0
じこあんじ	ノーマル	変化	-	-	10	相手の能力変化をコピー	0
じこさいせい	ノーマル	変化	-	-	10	最大HPの1/2回復	0
じごくぐるま	かくとう	物理	80	80	25	●反動1/4	0
じしん	じめん	物理	100	100	10	あなをほる中の相手に威力2倍	0
じたばた	ノーマル	物理	-	100	15	●HPが少ないほど威力↑	0
じばく	ノーマル	物理	200	100	5	自分は瀕死になる	0
じゅうでん	でんき	変化	-	-	20	次の電気技の威力2倍・自分特防↑	0
じわれ	じめん	物理	-	30	5	一撃必殺	0
じんつうりき	エスパー	特殊	80	100	20	相手怯み10%	0
すいとる	くさ	特殊	20	100	25	与えたダメージの半分回復	0
すてみタックル	ノーマル	物理	120	100	15	●反動1/3	0
すなあらし	いわ	変化	-	-	10	5ターン砂嵐	0
すなかけ	じめん	変化	-	100	15	相手命中↓	0
すなじごく	じめん	物理	35	85	15	4〜5ターン拘束ダメージ	0
ずつき	ノーマル	物理	70	100	15	●相手怯み30%	0
せいちょう	ノーマル	変化	-	-	40	自分攻撃特攻↑(晴れなら↑↑)	0
せいなるほのお	ほのお	物理	100	95	5	相手火傷50%	0
ぜったいれいど	こおり	特殊	-	30	5	一撃必殺	0
そらをとぶ	ひこう	物理	90	95	15	●1ターン目に飛び2ターン目に攻撃	0
たいあたり	ノーマル	物理	50	100	35	●通常攻撃	0
たきのぼり	みず	物理	80	100	15	●相手怯み20%	0
たくわえる	ノーマル	変化	-	-	20	蓄える(最大3回)・防御特防↑	0
たたきつける	ノーマル	物理	80	75	20	●通常攻撃	0
たつまき	ドラゴン	特殊	40	100	20	相手怯み20%・そらをとぶ中の相手にも当たる	0
たまなげ	ノーマル	物理	15	85	20	2〜5回連続攻撃	0
だいばくはつ	ノーマル	物理	250	100	5	自分は瀕死になる	0
だいもんじ	ほのお	特殊	120	85	5	相手火傷10%	0
だくりゅう	みず	特殊	95	85	10	相手命中↓30%	0
だましうち	あく	物理	60	-	20	●必中	0
ちいさくなる	ノーマル	変化	-	-	20	自分回避↑↑	0
ちきゅうなげ	かくとう	物理	-	100	20	●自分のレベル分の固定ダメージ	0
ちょうおんぱ	ノーマル	変化	-	55	20	相手混乱	0
ちょうはつ	あく	変化	-	100	20	3ターン変化技を出せなくする	0
つきのひかり	ノーマル	変化	-	-	5	HP回復(天候で回復量が変わる)	0
つつく	ひこう	物理	35	100	35	●通常攻撃	0
つのでつく	ノーマル	物理	65	100	25	●通常攻撃	0
つのドリル	ノーマル	物理	-	30	5	●一撃必殺	0
つばさでうつ	ひこう	物理	60	100	35	●通常攻撃	0
つばめがえし	ひこう	物理	60	-	20	●必中	0
つららばり	こおり	物理	25	100	30	2〜5回連続攻撃	0
つるぎのまい	ノーマル	変化	-	-	20	自分攻撃↑↑	0
つるのムチ	くさ	物理	35	100	15	●通常攻撃	0
てだすけ	ノーマル	変化	-	-	20	味方の技の威力1.5倍	5
てっぺき	はがね	変化	-	-	15	自分防御↑↑	0
てんしのキッス	ノーマル	変化	-	75	10	相手混乱	0
でんきショック	でんき	特殊	40	100	30	相手麻痺10%	0
でんげきは	でんき	特殊	60	-	20	必中	0
でんこうせっか	ノーマル	物理	40	100	30	●先制攻撃	1
でんじは	でんき	変化	-	100	20	相手を麻痺にする	0
でんじほう	でんき	特殊	120	50	5	相手麻痺100%	0
とおせんぼう	ノーマル	変化	-	-	5	相手を逃げられなくする	0
とおぼえ	ノーマル	変化	-	-	40	自分攻撃↑	0
とける	どく	変化	-	-	40	自分防御↑↑	0
とげキャノン	ノーマル	物理	20	100	15	2〜5回連続攻撃	0
とっしん	ノーマル	物理	90	85	20	●反動1/4	0
とびげり	かくとう	物理	100	95	10	●外すと最大HPの1/2ダメージ	0
とびはねる	ひこう	物理	85	85	5	●1ターン目に跳び2ターン目に攻撃・麻痺30%	0
とびひざげり	かくとう	物理	130	90	10	●外すと最大HPの1/2ダメージ	0
どくどく	どく	変化	-	90	10	相手を猛毒にする	0
どくどくのキバ	どく	物理	50	100	15	●相手猛毒30%	0
どくのこな	どく	変化	-	75	35	相手を毒にする	0
どくばり	どく	物理	15	100	35	相手毒30%	0
どくガス	どく	変化	-	80	40	相手を毒にする	0
どろあそび	じめん	変化	-	-	15	電気技の威力を半減	0
どろかけ	じめん	特殊	20	100	10	相手命中↓100%	0
どろぼう	あく	物理	40	100	10	●相手の持ち物を奪う	0
なきごえ	ノーマル	変化	-	100	40	相手攻撃↓	0
なまける	ノーマル	変化	-	-	10	最大HPの1/2回復	0
なみのり	みず	特殊	95	100	15	ダイビング中の相手に威力2倍	0
なりきり	エスパー	変化	-	-	10	相手の特性をコピー	0
にどげり	かくとう	物理	30	100	30	●2回連続攻撃	0
にほんばれ	ほのお	変化	-	-	5	5ターン晴れ	0
にらみつける	ノーマル	変化	-	100	30	相手防御↓	0
ねがいごと	ノーマル	変化	-	-	10	次のターン終了時にHP1/2回復	0
ねこだまし	ノーマル	物理	40	100	10	●出た最初のターンのみ・相手怯み100%	3
ねこのて	ノーマル	変化	-	-	20	味方の技をランダムに出す	0
ねごと	ノーマル	変化	-	-	10	眠っている時に自分の技をランダムに出す	0
ねっぷう	ほのお	特殊	100	90	10	相手火傷10%	0
ねむりごな	くさ	変化	-	75	15	相手を眠らせる	0
ねむる	エスパー	変化	-	-	10	2ターン眠って全回復	0
ねをはる	くさ	変化	-	-	20	毎ターンHP1/16回復・交代不可	0
ねんりき	エスパー	特殊	50	100	25	相手混乱10%	0
のしかかり	ノーマル	物理	85	100	15	●相手麻痺30%	0
のみこむ	ノーマル	変化	-	-	10	蓄えた回数に応じてHP回復	0
のろい	ゴースト	変化	-	-	10	ゴースト:HP半分を削って相手を呪う/他:攻撃防御↑素早さ↓	0
はかいこうせん	ノーマル	特殊	150	90	5	次のターン動けない	0
はがねのつばさ	はがね	物理	70	90	25	●自分防御↑10%	0
はきだす	ノーマル	特殊	-	100	10	蓄えた回数で威力↑	0
はさむ	ノーマル	物理	55	100	30	●通常攻撃	0
はたきおとす	あく	物理	20	100	20	●相手の持ち物を使えなくする	0
はたく	ノーマル	物理	40	100	35	●通常攻撃	0
はっぱカッター	くさ	物理	55	95	25	急所に当たりやすい	0
はなびらのまい	くさ	特殊	120	100	10	●2〜3ターン暴れた後に混乱	0
はねる	ノーマル	変化	-	-	40	何も起こらない	0
はめつのねがい	はがね	特殊	140	100	5	2ターン後にダメージ	0
はらだいこ	ノーマル	変化	-	-	10	HP半分を削って攻撃を最大まで上げる	0
ばかぢから	かくとう	物理	120	100	5	●自分攻撃防御↓	0
ばくれつパンチ	かくとう	物理	100	50	5	●相手混乱100%	0
ひかりのかべ	エスパー	変化	-	-	30	5ターン特殊ダメージ半減	0
ひっかく	ノーマル	物理	40	100	35	●通常攻撃	0
ひっさつまえば	ノーマル	物理	80	90	15	●相手怯み10%	0
ひのこ	ほのお	特殊	40	100	25	相手火傷10%	0
ひみつのちから	ノーマル	物理	70	100	20	●場所によって追加効果が変わる30%	0
ふういん	エスパー	変化	-	-	10	自分と同じ技を相手が使えなくする	0
ふきとばし	ノーマル	変化	-	-	20	相手を強制交代させる	-6
ふくろだたき	あく	物理	-	100	10	味方の数だけ連続攻撃	0
ふぶき	こおり	特殊	120	70	5	相手氷10%・霰なら必中	0
ふみつけ	ノーマル	物理	65	100	20	●相手怯み30%	0
ふんか	ほのお	特殊	150	100	5	HPが減るほど威力↓	0
へびにらみ	ノーマル	変化	-	90	30	相手を麻痺にする	0
へんしん	ノーマル	変化	-	-	10	相手に変身する	0
ほえる	ノーマル	変化	-	-	20	相手を強制交代させる	-6
ほごしょく	ノーマル	変化	-	-	20	場所に応じてタイプが変わる	0
ほしがる	ノーマル	物理	60	100	25	●相手の持ち物を奪う	0
ほたるび	むし	変化	-	-	20	自分特攻↑↑	0
ほのおのうず	ほのお	特殊	35	85	15	4〜5ターン拘束ダメージ	0
ほのおのパンチ	ほのお	物理	75	100	15	●相手火傷10%	0
ほろびのうた	ノーマル	変化	-	-	5	3ターン後に場の全員が瀕死	0
まきつく	ノーマル	物理	15	90	20	●4〜5ターン拘束ダメージ	0
まきびし	じめん	変化	-	-	20	交代で出てきた相手にダメージ	0
まもる	ノーマル	変化	-	-	10	相手の攻撃を防ぐ	4
まるくなる	ノーマル	変化	-	-	40	自分防御↑	0
まわしげり	かくとう	物理	60	85	15	●相手怯み30%	0
みがわり	ノーマル	変化	-	-	10	HP1/4を使って身代わりを出す	0
みきり	かくとう	変化	-	-	5	相手の攻撃を防ぐ	4
みずあそび	みず	変化	-	-	15	炎技の威力を半減	0
みずでっぽう	みず	特殊	40	100	25	通常攻撃	0
みずのはどう	みず	特殊	60	100	20	相手混乱20%	0
みだれづき	ノーマル	物理	15	85	20	●2〜5回連続攻撃	0
みだれひっかき	ノーマル	物理	18	80	15	●2〜5回連続攻撃	0
みちづれ	ゴースト	変化	-	-	5	倒されると相手も瀕死にする	0
みねうち	ノーマル	物理	40	100	40	●相手のHPを必ず1残す	0
みやぶる	ノーマル	変化	-	-	40	相手の回避ランクを無視・ゴーストにノーマル/格闘技が当たる	0
みらいよち	エスパー	特殊	100	100	10	2ターン後にダメージ	0
めいそう	エスパー	変化	-	-	20	自分特攻特防↑	0
めざめるパワー	ノーマル	特殊	-	100	15	個体値でタイプと威力が変わる	0
ものまね	ノーマル	変化	-	-	10	相手が最後に使った技をコピー	0
やつあたり	ノーマル	物理	-	100	20	●なつき度が低いほど威力↑	0
やどりぎのタネ	くさ	変化	-	90	10	毎ターン相手のHPを吸い取る	0
ゆびをふる	ノーマル	変化	-	-	10	ランダムな技を出す	0
ゆめくい	エスパー	特殊	100	100	15	眠っている相手のみ・与えたダメージの半分回復	0
ようかいえき	どく	特殊	40	100	30	相手特防↓10%	0
よこどり	あく	変化	-	-	10	相手の回復・能力上昇技を横取り	4
りゅうのいかり	ドラゴン	特殊	-	100	10	固定40ダメージ	0
りゅうのいぶき	ドラゴン	特殊	60	100	20	相手麻痺30%	0
りゅうのまい	ドラゴン	変化	-	-	20	自分攻撃素早さ↑	0
れいとうパンチ	こおり	物理	75	100	15	●相手氷10%	0
れいとうビーム	こおり	特殊	95	100	10	相手氷10%	0
れんぞくぎり	むし	物理	20	95	20	●連続で使うと威力倍増	0
れんぞくパンチ	ノーマル	物理	18	85	15	●2〜5回連続攻撃	0
わたほうし	くさ	変化	-	100	40	相手素早さ↓↓	0
アイアンテール	はがね	物理	100	75	15	●相手防御↓30%	0
アイスボール	こおり	物理	30	90	20	●5ターン連続で威力倍増	0
アロマセラピー	くさ	変化	-	-	5	味方全員の状態異常を治す	0
アンコール	ノーマル	変化	-	100	5	3ターン同じ技しか出せなくする	0
ウェザーボール	ノーマル	特殊	50	100	10	天候でタイプと威力が変わる	0
エアカッター	ひこう	特殊	55	95	25	急所に当たりやすい	0
エアロブラスト	ひこう	特殊	100	95	5	急所に当たりやすい	0
オウムがえし	ひこう	変化	-	-	20	相手が最後に使った技を出す	0
オクタンほう	みず	特殊	65	85	10	相手命中↓50%	0
オーバーヒート	ほのお	特殊	140	90	5	自分特攻↓↓	0
オーロラビーム	こおり	特殊	65	100	20	相手攻撃↓10%	0
カウンター	かくとう	物理	-	100	20	●受けた物理ダメージの2倍を返す	-5
キノコのほうし	くさ	変化	-	100	15	相手を眠らせる	0
ギガドレイン	くさ	特殊	75	100	10	与えたダメージの半分回復	0
クモのす	むし	変化	-	-	10	相手を逃げられなくする	0
クラブハンマー	みず	物理	90	90	10	●急所に当たりやすい	0
クロスチョップ	かくとう	物理	100	80	5	●急所に当たりやすい	0
コスモパワー	エスパー	変化	-	-	20	自分防御特防↑	0
コメットパンチ	はがね	物理	100	85	10	●自分攻撃↑20%	0
ゴッドバード	ひこう	物理	140	90	5	●1ターン溜めて攻撃・怯み30%・急所に当たりやすい	0
サイケこうせん	エスパー	特殊	65	100	20	相手混乱10%	0
サイコウェーブ	エスパー	特殊	-	100	15	レベルに応じたランダムダメージ	0
サイコキネシス	エスパー	特殊	90	100	10	相手特防↓10%	0
サイコブースト	エスパー	特殊	140	90	5	自分特攻↓↓	0
シグナルビーム	むし	特殊	75	100	15	相手混乱10%	0
シャドーパンチ	ゴースト	物理	60	-	20	●必中	0
シャドーボール	ゴースト	特殊	80	100	15	相手特防↓20%	0
スカイアッパー	かくとう	物理	85	90	15	●そらをとぶ中の相手にも当たる	0
スキルスワップ	エスパー	変化	-	-	10	相手と特性を入れ替える	0
スケッチ	ノーマル	変化	-	-	1	相手が最後に使った技を覚える	0
スパーク	でんき	物理	65	100	20	●相手麻痺30%	0
スピードスター	ノーマル	特殊	60	-	20	必中	0
スプーンまげ	エスパー	変化	-	80	15	相手命中↓	0
スモッグ	どく	特殊	20	70	20	相手毒40%	0
ソニックブーム	ノーマル	特殊	-	90	20	固定20ダメージ	0
ソーラービーム	くさ	特殊	120	100	10	1ターン溜めて攻撃(晴れなら溜め無し)	0
タネマシンガン	くさ	物理	25	100	30	2〜5回連続攻撃	0
タマゴうみ	ノーマル	変化	-	-	10	最大HPの1/2回復	0
タマゴばくだん	ノーマル	物理	100	75	10	通常攻撃	0
ダイビング	みず	物理	80	100	10	●1ターン目に潜り2ターン目に攻撃	0
ダブルニードル	むし	物理	25	100	20	2回連続攻撃・相手毒20%	0
テクスチャー	ノーマル	変化	-	-	30	自分の技のタイプに変化する	0
テクスチャー２	ノーマル	変化	-	-	30	相手の技に強いタイプに変化する	0
テレポート	エスパー	変化	-	-	20	戦闘から逃げる	0
トライアタック	ノーマル	特殊	80	100	10	麻痺/火傷/氷のいずれか20%	0
トリック	エスパー	変化	-	100	10	相手と持ち物を交換する	0
トリプルキック	かくとう	物理	10	90	10	●3回連続攻撃・威力が増える	0
ドわすれ	エスパー	変化	-	-	20	自分特防↑↑	0
ドラゴンクロー	ドラゴン	物理	80	100	15	●通常攻撃	0
ドリルくちばし	ひこう	物理	80	100	20	●通常攻撃	0
ナイトヘッド	ゴースト	特殊	-	100	15	自分のレベル分の固定ダメージ	0
ニードルアーム	くさ	物理	60	100	15	●相手怯み30%	0
ネコにこばん	ノーマル	物理	40	100	20	戦闘後にお金が手に入る	0
ハイドロカノン	みず	特殊	150	90	5	次のターン動けない	0
ハイドロポンプ	みず	特殊	120	80	5	通常攻撃	0
ハイパーボイス	ノーマル	特殊	90	100	10	通常攻撃(音技)	0
ハサミギロチン	ノーマル	物理	-	30	5	●一撃必殺	0
ハードプラント	くさ	特殊	150	90	5	次のターン動けない	0
バトンタッチ	ノーマル	変化	-	-	40	能力変化を引き継いで交代	0
バブルこうせん	みず	特殊	65	100	20	相手素早さ↓10%	0
バリアー	エスパー	変化	-	-	30	自分防御↑↑	0
ビルドアップ	かくとう	変化	-	-	20	自分攻撃防御↑	0
ピヨピヨパンチ	ノーマル	物理	70	100	10	●相手混乱20%	0
フェザーダンス	ひこう	変化	-	100	15	相手攻撃↓↓	0
フラッシュ	ノーマル	変化	-	100	20	相手命中↓	0
フラフラダンス	ノーマル	変化	-	100	20	周囲の全員を混乱させる	0
ブラストバーン	ほのお	特殊	150	90	5	次のターン動けない	0
ブレイククロー	ノーマル	物理	75	95	10	●相手防御↓50%	0
ブレイズキック	ほのお	物理	85	90	10	●相手火傷10%・急所に当たりやすい	0
プレゼント	ノーマル	物理	-	90	15	威力ランダム・時々相手が回復	0
ヘドロこうげき	どく	特殊	65	100	20	相手毒30%	0
ヘドロばくだん	どく	特殊	90	100	10	相手毒30%	0
ホネこんぼう	じめん	物理	65	85	20	相手怯み10%	0
ホネブーメラン	じめん	物理	50	90	10	2回連続攻撃	0
ボルテッカー	でんき	物理	120	100	15	●反動1/3・相手麻痺10%	0
ボーンラッシュ	じめん	物理	25	90	10	2〜5回連続攻撃	0
ポイズンテール	どく	物理	50	100	25	●相手毒10%・急所に当たりやすい	0
マグニチュード	じめん	物理	-	100	30	威力ランダム(10〜150)	0
マジカルリーフ	くさ	特殊	60	-	20	必中	0
マジックコート	エスパー	変化	-	-	15	変化技を跳ね返す	4
マッドショット	じめん	特殊	55	95	15	相手素早さ↓100%	0
マッハパンチ	かくとう	物理	40	100	30	●先制攻撃	1
ミサイルばり	むし	物理	14	85	20	2〜5回連続攻撃	0
ミストボール	エスパー	特殊	70	100	5	相手特攻↓50%	0
ミラーコート	エスパー	特殊	-	100	20	受けた特殊ダメージの2倍を返す	-5
ミルクのみ	ノーマル	変化	-	-	10	最大HPの1/2回復	0
メガトンキック	ノーマル	物理	120	75	5	●通常攻撃	0
メガトンパンチ	ノーマル	物理	80	85	20	●通常攻撃	0
メガドレイン	くさ	特殊	40	100	15	与えたダメージの半分回復	0
メガホーン	むし	物理	120	85	10	●通常攻撃	0
メタルクロー	はがね	物理	50	95	35	●自分攻撃↑10%	0
メロメロ	ノーマル	変化	-	100	15	異性の相手をメロメロにする	0
ヨガのポーズ	エスパー	変化	-	-	40	自分攻撃↑	0
ラスターパージ	エスパー	特殊	70	100	5	相手特防↓50%	0
リサイクル	ノーマル	変化	-	-	10	使った持ち物を再利用する	0
リフレクター	エスパー	変化	-	-	20	5ターン物理ダメージ半減	0
リフレッシュ	ノーマル	変化	-	-	20	自分の毒/麻痺/火傷を治す	0
リベンジ	かくとう	物理	60	100	10	●先に攻撃を受けていると威力2倍	-4
リーフブレード	くさ	物理	90	100	15	●急所に当たりやすい	0
ロケットずつき	ノーマル	物理	100	100	15	●1ターン目に防御↑2ターン目に攻撃	0
ロックオン	ノーマル	変化	-	-	5	次の攻撃が必ず当たる	0
ロックブラスト	いわ	物理	25	90	10	2〜5回連続攻撃	0
１０まんボルト	でんき	特殊	95	100	15	相手麻痺10%	0
